Assemblies	megahit_ancient_contigs	merciless
Dryas_octopetala	2386	2386
Betula_nana_plstd	2203	2203
Populus_alba_plstd	1769	1769
Crataegus_laevigata_plstd	1800	1800
Vaccinium_vitis-idaea_plstd	1020	1020
Carex_divulsa_plstd	1231	1231
Carex_pendula_plstd	908	908
Salix_dunnii_plstd	984	984
